x,y,Actual,Predicted,p_ADM,p_PanIN_LG,p_PanIN_HG,p_Other,Conf,Refined
27010,18123,ADM,PanIN_HG,0.25108101963996887,0.2935395836830139,0.33688363432884216,0.11849576234817505,0.33688363432884216,PanIN_LG
29058,11211,ADM,ADM,0.48378512263298035,0.30601316690444946,0.16991126537322998,0.04029045253992081,0.48378512263298035,ADM
13006,9827,ADM,ADM,0.4807647466659546,0.3061988353729248,0.15727704763412476,0.05575936287641525,0.4807647466659546,ADM
21890,10187,ADM,ADM,0.45352989435195923,0.29987019300460815,0.13076461851596832,0.11583524197340012,0.45352989435195923,ADM
26242,19659,ADM,ADM,0.41199204325675964,0.2979852855205536,0.140639066696167,0.14938360452651978,0.41199204325675964,PanIN_LG
30850,6603,ADM,PanIN_LG,0.10635247081518173,0.40775996446609497,0.24994736909866333,0.23594018816947937,0.40775996446609497,PanIN_LG
16078,11363,ADM,ADM,0.40207743644714355,0.2963944971561432,0.14574745297431946,0.1557806432247162,0.40207743644714355,PanIN_LG
24194,7371,ADM,ADM,0.4310302138328552,0.29068708419799805,0.14377203583717346,0.13451062142848969,0.4310302138328552,ADM
32898,9419,ADM,ADM,0.3374079465866089,0.30593472719192505,0.14646972715854645,0.210187628865242,0.3374079465866089,ADM
11470,14691,ADM,Other,0.1749579906463623,0.2666173577308655,0.23253308236598969,0.32589155435562134,0.32589155435562134,PanIN_LG
35458,14027,ADM,ADM,0.45857900381088257,0.2659497559070587,0.12890741229057312,0.1465637981891632,0.45857900381088257,ADM
26754,11211,ADM,PanIN_LG,0.3928992748260498,0.4544670879840851,0.11959439516067505,0.033039212226867676,0.4544670879840851,ADM
7886,23907,ADM,ADM,0.32146549224853516,0.25867992639541626,0.15524403750896454,0.26461049914360046,0.32146549224853516,ADM
28546,32459,ADM,PanIN_LG,0.3244755268096924,0.3346008062362671,0.16561074554920197,0.17531289160251617,0.3346008062362671,PanIN_LG
11214,25699,ADM,ADM,0.4064220190048218,0.2920646071434021,0.15575741231441498,0.14575597643852234,0.4064220190048218,PanIN_LG
20866,18379,ADM,Other,0.1897382140159607,0.3034062683582306,0.19190777838230133,0.3149477243423462,0.3149477243423462,PanIN_LG
27778,23243,ADM,ADM,0.3031280040740967,0.30162662267684937,0.17219193279743195,0.2230534553527832,0.3031280040740967,PanIN_LG
14286,19043,ADM,Other,0.09160662442445755,0.36870914697647095,0.15036971867084503,0.38931453227996826,0.38931453227996826,PanIN_LG
24450,6091,ADM,ADM,0.39286690950393677,0.2317541241645813,0.31505724787712097,0.06032170355319977,0.39286690950393677,ADM
12035,36861,ADM,ADM,0.4136301279067993,0.2534303069114685,0.20242175459861755,0.13051781058311462,0.4136301279067993,PanIN_LG
24962,5579,ADM,PanIN_LG,0.39833322167396545,0.45082128047943115,0.12395888566970825,0.026886656880378723,0.45082128047943115,ADM
27010,16843,ADM,PanIN_HG,0.11206319183111191,0.2632313370704651,0.46172747015953064,0.16297799348831177,0.46172747015953064,PanIN_LG
36738,30411,ADM,ADM,0.5019817352294922,0.2463698834180832,0.17358934879302979,0.07805898785591125,0.5019817352294922,ADM
23170,8139,ADM,ADM,0.44761359691619873,0.30758923292160034,0.13254135847091675,0.11225580424070358,0.44761359691619873,ADM
25474,18123,ADM,ADM,0.431427538394928,0.3241514563560486,0.15471841394901276,0.08970258384943008,0.431427538394928,ADM
14030,25699,ADM,ADM,0.457584947347641,0.30993497371673584,0.11441028863191605,0.11806980520486832,0.457584947347641,ADM
22402,15819,ADM,ADM,0.5025163888931274,0.30731260776519775,0.14838656783103943,0.04178445041179657,0.5025163888931274,PanIN_LG
29314,11723,ADM,ADM,0.4637654423713684,0.34943774342536926,0.1754433512687683,0.011353425681591034,0.4637654423713684,ADM
22914,15563,ADM,PanIN_LG,0.28662174940109253,0.30537182092666626,0.14068816602230072,0.2673182487487793,0.30537182092666626,PanIN_LG
22658,12491,ADM,ADM,0.47000277042388916,0.24918027222156525,0.17823514342308044,0.10258181393146515,0.47000277042388916,PanIN_LG
22402,16331,ADM,ADM,0.36599841713905334,0.27736520767211914,0.2020987719297409,0.1545376032590866,0.36599841713905334,PanIN_LG
21634,10187,ADM,ADM,0.49845123291015625,0.2749922275543213,0.14077749848365784,0.08577898144721985,0.49845123291015625,PanIN_LG
25730,4811,ADM,ADM,0.4300629496574402,0.2658880054950714,0.18012487888336182,0.12392420321702957,0.4300629496574402,ADM
13827,36093,ADM,PanIN_LG,0.19871792197227478,0.30724743008613586,0.1950061321258545,0.2990284860134125,0.30724743008613586,PanIN_LG
22914,16075,ADM,ADM,0.47302931547164917,0.27955180406570435,0.19975078105926514,0.04766807705163956,0.47302931547164917,PanIN_LG
26754,7115,ADM,ADM,0.4865448474884033,0.27348190546035767,0.17463360726833344,0.06533962488174438,0.4865448474884033,ADM
24194,7115,ADM,ADM,0.41712063550949097,0.26567864418029785,0.16824401915073395,0.14895673096179962,0.41712063550949097,ADM
28802,9931,ADM,ADM,0.342204749584198,0.2570648193359375,0.19120556116104126,0.20952485501766205,0.342204749584198,ADM
9678,19299,ADM,Other,0.17467018961906433,0.30244144797325134,0.20773062109947205,0.3151577413082123,0.3151577413082123,PanIN_LG
8142,24419,ADM,ADM,0.5443663597106934,0.2799537479877472,0.12551093101501465,0.0501689538359642,0.5443663597106934,ADM
17870,12643,ADM,ADM,0.28500741720199585,0.25912725925445557,0.1865989863872528,0.2692663371562958,0.28500741720199585,PanIN_LG
6350,16227,ADM,ADM,0.5398434400558472,0.28728798031806946,0.1310133934020996,0.04185511916875839,0.5398434400558472,PanIN_LG
25986,5835,ADM,ADM,0.484946072101593,0.25755900144577026,0.18863317370414734,0.0688617080450058,0.484946072101593,ADM
24194,6091,ADM,ADM,0.5080682635307312,0.31997543573379517,0.1518104374408722,0.0201458428055048,0.5080682635307312,ADM
